month_name,clinic_name,user_request
05/01/2026,Lenox Medical Clinic,Cancel Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,WE CARE HEALTH & WELLNESS CENTER,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Appointment Confirmation/Inquiry
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Cancel Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,Billing/Insurance Question
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Front Desk Request
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Windermere Medical Group,Medication/Refill Request
05/01/2026,Windermere Medical Group,Medication/Refill Request
05/01/2026,Windermere Medical Group,Medication/Refill Request
05/01/2026,Windermere Medical Group,Medication/Refill Request
05/01/2026,Windermere Medical Group,Medication/Refill Request
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,Cancel Appointment
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,No User Request (Silent Call)
05/01/2026,Windermere Medical Group,Emergency Request
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,General Information Request
05/01/2026,Windermere Medical Group,No User Request (Silent Call)
05/01/2026,Windermere Medical Group,General Inquiry
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Windermere Medical Group,General Inquiry
05/01/2026,Windermere Medical Group,Billing/Insurance Question
05/01/2026,Windermere Medical Group,Front Desk Request
05/01/2026,Windermere Medical Group,Schedule Appointment
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,Medication/Refill Request
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Medication/Refill Request
05/01/2026,Lenox Medical Clinic,Medication/Refill Request
05/01/2026,Alpha OBGYN,Front Desk Request
05/01/2026,Alpha OBGYN,Billing/Insurance Question
05/01/2026,Lenox Medical Clinic,Front Desk Request
05/01/2026,Alpha OBGYN,Schedule Appointment
05/01/2026,Alpha OBGYN,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,Cancel Appointment
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,Medication/Refill Request
05/01/2026,Lenox Medical Clinic,Front Desk Request
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,Front Desk Request
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Emergency Request
05/01/2026,Alpha OBGYN,Front Desk Request
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Alpha OBGYN,Schedule Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Alpha OBGYN,General Information Request
05/01/2026,Alpha OBGYN,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Front Desk Request
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,General Inquiry
05/01/2026,Alpha OBGYN,Front Desk Request
05/01/2026,Alpha OBGYN,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Alpha OBGYN,Billing/Insurance Question
05/01/2026,Lenox Medical Clinic,Schedule Appointment
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
05/01/2026,Lenox Medical Clinic,Front Desk Request
05/01/2026,Lenox Medical Clinic,No User Request (Silent Call)
